adb	1:10.0.0+r36-9
alsa-base	1.0.25+dfsg-0ubuntu7
ansiweather	1.18.0-3
apparmor	3.0.4-2ubuntu2.5
aria2	1.36.0-1
autoconf	2.71-2
autoconf-archive	20210219-2.1
awdev-dkms	0.5
base-files	12ubuntu4.7
base-passwd	3.5.52build1
bash	5.1-6ubuntu1.1
bash-completion	1:2.11-5ubuntu1
bc	1.07.1-3build1
bear	3.0.18-1
bind9-dnsutils	1:9.18.39-0ubuntu0.22.04.4
binutils	2.38-4ubuntu2.12
bison	2:3.8.2+dfsg-1build1
bsdutils	1:2.37.2-4ubuntu3.5
build-essential	12.9ubuntu3
busybox	1:1.30.1-7ubuntu3.1
byobu	5.133-1
ccache	4.5.1-1
clang	1:14.0-55~exp2
clang-15	1:15.0.7-0ubuntu0.22.04.3
clang-format:amd64	1:14.0-55~exp2
clang-format-15	1:15.0.7-0ubuntu0.22.04.3
clang-tidy-15	1:15.0.7-0ubuntu0.22.04.3
clang-tools-15	1:15.0.7-0ubuntu0.22.04.3
clangd-15	1:15.0.7-0ubuntu0.22.04.3
command-not-found	22.04.0
containerd.io	2.2.2-1~ubuntu.22.04~jammy
cowsay	3.03+dfsg2-8
cpio	2.13+dfsg-7ubuntu0.1
crash	8.0.0-1ubuntu1.1
cron	3.0pl1-137ubuntu3
curl	7.81.0-1ubuntu1.25
dash	0.5.11+git20210903+057cd650a4ed-3build1
dbus-x11	1.12.20-2ubuntu4.1
diffutils	1:3.8-0ubuntu2
dirmngr	2.2.27-3ubuntu2.5
dkms	2.8.7-2ubuntu2.2
dmidecode	3.3-3ubuntu0.2
docker-buildx-plugin	0.31.1-1~ubuntu.22.04~jammy
docker-ce	5:29.3.1-1~ubuntu.22.04~jammy
docker-ce-cli	5:29.3.1-1~ubuntu.22.04~jammy
docker-compose-plugin	5.1.1-1~ubuntu.22.04~jammy
dos2unix	7.4.2-2
dosfstools	4.2-1build3
doxygen	1.9.1-2ubuntu2
ed	1.18-1
eog	42.0-1
fd-find	8.3.1-1ubuntu0.1
figlet	2.2.5-3
file	1:5.41-3ubuntu0.1
findutils	4.8.0-1ubuntu3
firefox	1:1snap1-0ubuntu2
flex	2.6.4-8build2
fonts-freefont-ttf	20120503-10build1
fonts-ipafont-gothic	00303-21ubuntu1
fonts-liberation	1:1.07.4-11
fonts-noto-cjk	1:20220127+repack1-1
fonts-noto-color-emoji	2.047-0ubuntu0.22.04.1
fonts-tlwg-loma-otf	1:0.7.3-1
fonts-ubuntu	0.83-6ubuntu1
fonts-unifont	1:14.0.01-1
fonts-wqy-zenhei	0.9.45-8
foxglove-studio	2.59.0
friendly-recovery	0.2.42
ftp	20210827-4build1
fzf	0.29.0-1ubuntu0.1
g++-12	12.3.0-1ubuntu1~22.04.3
gcc	4:11.2.0-1ubuntu1
gdb	12.1-0ubuntu1~22.04.2
git	1:2.34.1-1ubuntu1.17
git-lfs	3.0.2-1ubuntu0.3
glow	2.1.1
gnupg	2.2.27-3ubuntu2.5
gnuplot	5.4.2+dfsg2-2
gnutls-bin	3.7.3-4ubuntu1.9
google-mock:amd64	1.11.0-3
gpiod	1.6.3-1build1
grep	3.7-1build1
gtypist	2.9.5-3build1
gzip	1.10-4ubuntu4.2
hdparm	9.60+ds-1build3
hostname	3.23ubuntu2
htop	3.0.5-7build2
info	6.8-4build1
init	1.62
iptables	1.8.7-1ubuntu5.2
iputils-tracepath	3:20211215-1ubuntu0.1
irqbalance	1.8.0-1ubuntu0.2
jfrog-cli	1.54.1
jq	1.6-2.1ubuntu3.2
kdiff3	1.9.5-1
libacl1-dev:amd64	2.3.1-1
libasio-dev	1:1.18.1-1
libasound2:amd64	1.2.6.1-1ubuntu1.2
libasound2:i386	1.2.6.1-1ubuntu1.2
libasound2-dev:amd64	1.2.6.1-1ubuntu1.2
libatk-bridge2.0-0:amd64	2.38.0-3
libatk1.0-0:amd64	2.36.0-3build1
libatspi2.0-0:amd64	2.44.0-3
libavcodec-dev:amd64	7:4.4.2-0ubuntu0.22.04.1
libavformat-dev:amd64	7:4.4.2-0ubuntu0.22.04.1
libboost-all-dev	1.74.0.3ubuntu7
libc++-15-dev:amd64	1:15.0.7-0ubuntu0.22.04.3
libc++abi-15-dev:amd64	1:15.0.7-0ubuntu0.22.04.3
libc6-dev-i386	2.35-0ubuntu3.14
libc6-i386	2.35-0ubuntu3.14
libcairo2:amd64	1.16.0-5ubuntu2.1
libcairo2:i386	1.16.0-5ubuntu2.1
libcairo2-dev:amd64	1.16.0-5ubuntu2.1
libceres-dev	2.0.0+dfsg1-5
libclang-15-dev	1:15.0.7-0ubuntu0.22.04.3
libclang-common-15-dev	1:15.0.7-0ubuntu0.22.04.3
libclang-cpp15-dev	1:15.0.7-0ubuntu0.22.04.3
libclang-dev	1:14.0-55~exp2
libclang-rt-15-dev:amd64	1:15.0.7~++20231019083512+8dfdcc7b7bf6-1~exp1~20231019203551.119
libcups2:amd64	2.4.1op1-1ubuntu4.21
libcups2:i386	2.4.1op1-1ubuntu4.21
libcurl4-openssl-dev:amd64	7.81.0-1ubuntu1.25
libdbus-1-3:amd64	1.12.20-2ubuntu4.1
libdbus-1-3:i386	1.12.20-2ubuntu4.1
libdebconfclient0:amd64	0.261ubuntu1
libdouble-conversion-dev:amd64	3.1.7-4
libdrm2:amd64	2.4.113-2~ubuntu0.22.04.1
libdrm2:i386	2.4.113-2~ubuntu0.22.04.1
